Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
Eddie the Eagle,26/02/2016,Drama,Dexter Fletcher,Taron Egerton,23000000,46200000,23200000
Edge of Tomorrow,28/05/2014,Action,Doug Liman,Tom Cruise,178000000,370500000,192500000
Elysium,09/08/2013,Sci-Fi,Neill Blomkamp,Matt Damon,115000000,286100000,171100000
Embrace of the Serpent,15/05/2015,Adventure,Ciro Guerra,Jan Bijvoet,1400000,2800000,1400000
End of Watch,21/09/2012,Action,David Ayer,Jake Gyllenhaal,7000000,48100000,41100000
Enough Said,20/09/2013,Comedy,Nicole Holofcener,James Gandolfini,8000000,25300000,17300000
Entourage,27/05/2015,Comedy,Doug Ellin,Adrian Grenier,39000000,49300000,10300000
Epic,24/05/2013,Adventure,Chris Wedge,Colin Farrell,93000000,268400000,175400000
Escape from Planet Earth,15/02/2013,Comedy,Cal Brunker,Brendan Fraser,40000000,74600000,34600000
Evil Dead,05/04/2013,Horror,Fede Alvarez,Jane Levy,17000000,97500000,80500000
Ex Machina,21/01/2015,Sci-Fi,Alex Garland,Domhnall Gleeson,15000000,36900000,21900000
Eye in the Sky,11/09/2015,Thriller,Gavin Hood,Helen Mirren,13000000,32800000,19800000
Fantastic Four,04/08/2015,Action,Josh Trank,Miles Teller,120000000,168000000,48000000
Fast & Furious 6,17/05/2013,Action,Justin Lin,Vin Diesel,160000000,788700000,628700000
Flight,02/11/2012,Drama,Robert Zemeckis,Denzel Washington,31000000,161800000,130800000
Florence Foster Jenkins,27/04/2016,Biography,Stephen Frears,Meryl Streep,19000000,31700000,12700000
Frances Ha,17/05/2013,Drama,Noah Baumbach,Greta Gerwig,3000000,11300000,8300000
Free State of Jones,16/06/2016,Drama,Gary Ross,Matthew McConaughey,50000000,21200000,-28800000
Friends with Kids,09/03/2012,Comedy,Jennifer Westfeldt,Adam Scott,10000000,12200000,2200000
Fun Size,26/10/2012,Comedy,Josh Schwartz,Victoria Justice,14000000,11400000,-2600000
Fury,15/10/2014,Action,David Ayer,Brad Pitt,68000000,211800000,143800000
G.I. Joe: Retaliation,27/03/2013,Action,Jon Chu,Channing Tatum,130000000,375700000,245700000
Gangster Squad,11/01/2013,Action,Ruben Fleischer,Ryan Gosling,75000000,105200000,30200000
